,mm,formula,compound,pollutant_category,AVG_savanna,AVG_boreal_forest,AVG_tropical_forest,AVG_temperate_forest,AVG_peat,AVG_chaparral,AVG_open_cooking,AVG_cookstove,AVG_dung_burning,AVG_charcoal_making,AVG_charcoal_burning,AVG_coal_burning,AVG_pasture_maintenance,AVG_crop_residue,AVG_garbage_burning,N_savanna,N_boreal_forest,N_tropical_forest,N_temperate_forest,N_peat,N_chaparral,N_open_cooking,N_cookstove,N_dung_burning,N_charcoal_making,N_charcoal_burning,N_coal_burning,N_pasture_maintenance,N_crop_residue,N_garbage_burning,STD_savanna,STD_boreal_forest,STD_tropical_forest,STD_temperate_forest,STD_peat,STD_chaparral,STD_open_cooking,STD_cookstove,STD_dung_burning,STD_charcoal_making,STD_charcoal_burning,STD_coal_burning,STD_pasture_maintenance,STD_crop_residue,STD_garbage_burning,smile,S07,S07T,S18B,S22,MOZT1,geos_chem_species,id
127,76.0,C2H4O3,Glycolic acid,NMOC_g,,,,0.06682,,0.0046,,,,,,,,,,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0372,,,,,,,,,,,,C(C(=O)O)O,PACD,PACD,RCOOH,OACID,NROG,,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)"
128,76.0,CS2,Carbon disulfide,NMOC_g,0.002,0.0263,,0.0005,,,,,,,,,,0.0036,,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,0.0001,,,,,,,,,,0.0072,,C(=S)=S,ALK3,ALK3,NROG,NROG,,,InChI=1S/CS2/c2-1-3
129,76.0,C2H5Cl,Ethylchloride,NMOC_g,0.001,0.0006,,0.0006,0.0014,0.001,,0.001,0.0058,,,,,0.001,,1.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0002,,0.0003,,,,0.0008,0.0047,,,,,0.0009,,CCCl,ALK2,ALK2,OTH1,ALK4,NROG,,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3"
130,77.0,CH3NOS,N-sulfinyl methanamine,NMOC_g,,,,0.0001,0.0002,0.0,,,0.0003,,,,,0.0001,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,C(=S=O)N,ALK5,ALK5,OTH4,ALK5,,,"InChI=1S/CH3NOS/c2-1-4-3/h1H,2H2"
131,77.0,CH3NO3,Methyl nitrate,NMOC_g,0.0023,0.0018,0.0083,0.0018,,0.002,,0.0058,0.0392,,,0.0014,,0.0224,0.0598,2.0,2.0,2.0,6.0,0.0,1.0,0.0,5.0,6.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0025,0.0006,0.0113,0.0009,,,,0.0034,0.0651,,,0.0021,,0.0448,,CO[N+](=O)[O-],RNO3,RNO3,R1NO3,R1NO3,,,InChI=1S/CH3NO3/c1-5-2(3)4/h1H3
133,78.0,C6H6,Benzene,NMOC_g,0.4343,0.7513,0.385,0.5089,1.3238,0.4378,1.5789,0.4606,0.9674,,,0.8441,0.363,0.2419,1.5812,5.0,4.0,4.0,14.0,5.0,3.0,1.0,7.0,7.0,0.0,0.0,2.0,2.0,15.0,3.0,0.4819,0.3839,0.2284,0.1733,1.0453,0.2125,,0.3228,0.4259,,,1.1821,0.0255,0.1789,1.0325,C1=CC=CC=C1,BENZ,BENZ,BENZ,BENZ,BENZENE,RCHO,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H
134,78.0,C6H6,"1,5-hexadiyne",NMOC_g,,0.0007,,0.001,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,C#CCCC#C,OLE2,OLE2,ACYLS,ALK5,,,"InChI=1S/C6H6/c1-3-5-6-4-2/h1-2H,5-6H2"
135,78.0,C6H6,Divinylacetylene,NMOC_g,,0.0107,,0.0082,0.0032,0.0068,,,,,,,,0.0023,,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0057,,,,,,,,,,,,C=CC#CC=C,OLE1,OLE1,OLE2,OLE2,,,"InChI=1S/C6H6/c1-3-5-6-4-2/h3-4H,1-2H2"
137,79.0,C5H5N,Pyridine,NMOC_g,,0.0196,,0.0299,0.12045,,,,,,,,,0.01945,,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,C1=CC=NC=C1,ARO1,ARO1,AMINS,AMINS,BENZENE,,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H
139,80.0,C5H4O,"2,4-cyclopentadiene-1-one",NMOC_g,0.2044,0.0972,,0.1464,0.0619,0.0731,0.0975,0.1107,,,,,,0.21805,0.086,1.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,0.1218,,0.148,,,,0.0798,,,,,,,,C1=CC(=O)C=C1,IPRD,IPRD,LVKS,LVKS,,,InChI=1S/C5H4O/c6-5-3-1-2-4-5/h1-4H
141,80.0,C6H8,"1,4-cyclohexadiene",NMOC_g,,,,0.0018,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,C1C=CCC=C1,OLE2,OLE2,OLEC,OLE2,,,"InChI=1S/C6H8/c1-2-4-6-5-3-1/h1-2,5-6H,3-4H2"
142,80.0,C6H8,"1,3-cyclohexadiene",NMOC_g,,0.0999,,0.0411,0.0224,,,,,,,,,0.01743,,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0567,,,,,,,,,,,,,,C1CC=CC=C1,OLE2,OLE2,OLEC,OLE2,,,"InChI=1S/C6H8/c1-2-4-6-5-3-1/h1-4H,5-6H2"
143,80.0,C6H8,2-hexene-4-yne,NMOC_g,,,,,,,,,,,,,,0.00077,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC=CC#CC,OLE1,OLE1,OLE2,OLE2,,,"InChI=1S/C6H8/c1-3-5-6-4-2/h3,5H,1-2H3/b5-3+"
144,80.0,C6H8,1-hexen-3-yne,NMOC_g,,0.0037,,0.0073,,,,,,,,,,0.00205,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CCC#CC=C,OLE1,OLE1,OLE2,OLE2,,,"InChI=1S/C6H8/c1-3-5-6-4-2/h3H,1,4H2,2H3"
145,80.0,C6H8,"1,3-cyclopentadiene, 1-methyl-",NMOC_g,,0.0838,,0.0545,0.0467,,,,,,,,,0.03512,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC1=CC=CC1,OLE2,OLE2,OLEC,OLE2,BIGENE,,"InChI=1S/C6H8/c1-6-4-2-3-5-6/h2-4H,5H2,1H3"
146,80.0,C6H8,"1,3-cyclopentadiene, 5-methyl-",NMOC_g,,0.0742,,0.0468,0.0394,,,,,,,,,0.02948,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC1C=CC=C1,OLE2,OLE2,OLEC,OLE2,,,"InChI=1S/C6H8/c1-6-4-2-3-5-6/h2-6H,1H3"
147,80.0,C4H4N2,Pyrazine,NMOC_g,,,,,,,,,,,,,,0.003,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,C1=CN=CC=N1,ARO2,ARO2,ARO1,ARO1,,,InChI=1S/C4H4N2/c1-2-6-4-3-5-1/h1-4H
149,81.0,C5H7N,"Butanenitrile, 2-methylene-",NMOC_g,,,,,,,,,,,,,,0.00138,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CCC(=C)C#N,ALK5,ALK5,OTH4,ALK5,,,"InChI=1S/C5H7N/c1-3-5(2)4-6/h2-3H2,1H3"
150,81.0,C5H7N,"3-butenenitrile, 3-methyl-",NMOC_g,,,,,,,,,,,,,,0.00148,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC(=C)CC#N,ALK5,ALK5,OTH4,ALK5,,,"InChI=1S/C5H7N/c1-5(2)3-4-6/h1,3H2,2H3"
151,81.0,C5H7N,"1h-pyrrole, 3-methyl-",NMOC_g,,,,0.00547,,,,,,,,,,0.00413,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC1=CNC=C1,ARO2,ARO2,FURNS,FURNS,,,"InChI=1S/C5H7N/c1-5-2-3-6-4-5/h2-4,6H,1H3"
152,81.0,C5H7N,"1h-pyrrole, 2-methyl-",NMOC_g,,0.0067,,0.0158,0.01599,,,,,,,,,0.00731,,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC1=CC=CN1,ARO2,ARO2,FURNS,FURNS,,,"InChI=1S/C5H7N/c1-5-3-2-4-6-5/h2-4,6H,1H3"
153,81.0,C5H7N,1-methylpyrrole,NMOC_g,,0.0147,,0.00867,0.02781,0.0084,,,,,,,,0.00615,,0.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0064,,,,,,,,,,,,CN1C=CC=C1,ARO2,ARO2,FURNS,FURNS,,,"InChI=1S/C5H7N/c1-6-4-2-3-5-6/h2-5H,1H3"
155,82.0,C6H10,Cyclohexene,NMOC_g,,0.02423,,0.0166,0.04649,0.01158,,,,,,,,0.00364,,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0057,,,,,,,,,,,,C1CCC=CC1,OLE2,OLE2,OLEC,OLE2,BIGENE,,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2"
156,82.0,C6H10,"Trans-1,3-hexadiene",NMOC_g,,0.01225,,0.0074,0.02233,0.00369,,,,,,,,0.00326,,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0032,,,,,,,,,,,,CCC=CC=C,OLE2,OLE2,OLED,OLE2,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3,5-6H,1,4H2,2H3/b6-5+"
157,82.0,C6H10,"Cis-1,3-hexadiene",NMOC_g,,,,0.0027,,0.0019,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0015,,,,,,,,,,,,CCC=CC=C,OLE2,OLE2,OLED,OLE2,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3,5-6H,1,4H2,2H3/b6-5-"
158,82.0,C6H10,"1,4-hexadiene, (e)-",NMOC_g,,0.00502,,0.0091,0.00529,,,,,,,,,0.00093,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC=CCC=C,OLE2,OLE2,OLE2,OLE2,BIGENE,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4,6H,1,5H2,2H3/b6-4+"
159,82.0,C6H10,"1,4-hexadiene, (z)-",NMOC_g,,0.00399,,0.0045,,,,,,,,,,,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,CC=CCC=C,OLE2,OLE2,OLED,OLE2,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4,6H,1,5H2,2H3/b6-4-"
160,82.0,C6H10,"1,5-hexadiene",NMOC_g,,0.0095,,0.0161,0.01065,,,,,,,,,0.00168,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,C=CCCC=C,OLE2,OLE2,OLE1,OLE1,BIGENE,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2"
161,82.0,C6H10,3-hexyne,NMOC_g,,,,,0.0061,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,CCC#CCC,OLE2,OLE2,ACYLS,ALK5,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H2,1-2H3"
162,82.0,C6H10,"2,4-hexadiene, (e,e)-",NMOC_g,,0.00379,,0.0081,0.0108,,,,,,,,,0.00177,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC=CC=CC,OLE2,OLE2,OLED,OLE2,BIGENE,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-6H,1-2H3/b5-3+,6-4+"
163,82.0,C6H10,"2,4-hexadiene, (e,z)-",NMOC_g,,0.00613,,0.0125,0.0152,,,,,,,,,0.00243,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC=CC=CC,OLE2,OLE2,OLED,OLE2,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-6H,1-2H3/b5-3-,6-4+"
164,82.0,C6H10,"4-methyl-1,3-pentadiene",NMOC_g,,0.01149,,0.023,0.02849,,,,,,,,,0.00373,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC(=CC=C)C,OLE2,OLE2,OLED,OLE2,,,"InChI=1S/C6H10/c1-4-5-6(2)3/h4-5H,1H2,2-3H3"
165,82.0,C6H10,"1,3-pentadiene, 2-methyl-, (e)-",NMOC_g,,0.01094,,0.0117,0.02541,,,,,,,,,0.00466,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC=CC(=C)C,OLE2,OLE2,OLED,OLE2,,,"InChI=1S/C6H10/c1-4-5-6(2)3/h4-5H,2H2,1,3H3/b5-4+"
166,82.0,C6H10,"1,3-pentadiene, 2-methyl-, (z)-",NMOC_g,,0.02904,,0.0631,,,,,,,,,,0.00914,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC=CC(=C)C,OLE2,OLE2,OLED,OLE2,,,"InChI=1S/C6H10/c1-4-5-6(2)3/h4-5H,2H2,1,3H3/b5-4-"
167,82.0,C6H10,"1,4-pentadiene, 2-methyl-",NMOC_g,,0.00502,,0.0091,0.00485,,,,,,,,,0.00149,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC(=C)CC=C,OLE2,OLE2,OLE3,OLE3,BIGENE,,"InChI=1S/C6H10/c1-4-5-6(2)3/h4H,1-2,5H2,3H3"
168,82.0,C6H10,"1,3-pentadiene, 3-methyl-, (z)-",NMOC_g,,0.00812,,0.0222,0.0105,,,,,,,,,0.00364,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC=C(C)C=C,OLE2,OLE2,OLED,OLE2,,,"InChI=1S/C6H10/c1-4-6(3)5-2/h4-5H,1H2,2-3H3/b6-5-"
169,82.0,C6H10,"1,4-pentadiene, 3-methyl-",NMOC_g,,0.00186,,0.003,,,,,,,,,,0.00047,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC(C=C)C=C,OLE2,OLE2,OLED,OLE2,,,"InChI=1S/C6H10/c1-4-6(3)5-2/h4-6H,1-2H2,3H3"
170,82.0,C6H10,"1,3-butadiene, 2,3-dimethyl-",NMOC_g,,0.0064,,0.0058,0.00382,,,,,,,,,0.00243,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC(=C)C(=C)C,OLE2,OLE2,BUT13,BUT13,,,"InChI=1S/C6H10/c1-5(2)6(3)4/h1,3H2,2,4H3"
171,82.0,C6H10,"Cyclopentene, 3-methyl-",NMOC_g,,0.0073,,0.0046,0.02284,,,,,,,,,0.00298,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC1CCC=C1,OLE2,OLE2,OLEC,OLE2,BIGENE,,"InChI=1S/C6H10/c1-6-4-2-3-5-6/h2,4,6H,3,5H2,1H3"
172,82.0,C6H10,1-methylcyclopentene,NMOC_g,,0.02182,,0.0199,0.05559,0.01168,,,,,,,,0.0084,,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0041,,,,,,,,,,,,CC1=CCCC1,OLE2,OLE2,OLEC,OLE2,BIGENE,,"InChI=1S/C6H10/c1-6-4-2-3-5-6/h4H,2-3,5H2,1H3"
173,82.0,C5H6O,Pent-2-ynal,NMOC_g,,0.0018,,0.00204,,,,,,,,,,,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,CCC#CC=O,OLE2,OLE2,ACYLS,ALK5,,,"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,2H2,1H3"
174,82.0,C5H6O,"1,4-pentadien-3-one",NMOC_g,,,,0.00088,,,,,,,,,,0.00101,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,C=CC(=O)C=C,IPRD,IPRD,LVKS,LVKS,,,"InChI=1S/C5H6O/c1-3-5(6)4-2/h3-4H,1-2H2"
175,82.0,C5H6O,3-methylfuran,NMOC_g,0.012,0.0184,0.59,0.02765,0.03509,0.00978,,,,,,,0.707,0.02703,0.0221,1.0,1.0,1.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,,,,0.0209,,,,,,,,,,0.009,,CC1=COC=C1,ARO2,ARO2,FURNS,FURNS,XYLENES,,"InChI=1S/C5H6O/c1-5-2-3-6-4-5/h2-4H,1H3"
176,82.0,C5H6O,2-methylfuran,NMOC_g,0.2296,0.2696,0.08,0.19126,0.34365,0.11695,0.1354,0.1004,0.4578,,,,0.101,0.18105,0.1489,2.0,3.0,1.0,12.0,4.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,0.2668,0.0744,,0.1443,0.1944,0.0277,,0.0661,0.2623,,,,,0.1019,,CC1=CC=CO1,ARO2,ARO2,FURNS,FURNS,XYLENES,,"InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3"
177,82.0,C5H6O,Cyclopentenone,NMOC_g,,0.027,,0.1788,0.041,0.05673,,,,,,,,0.12784,,0.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.1063,,,,,,,,,,,,C1CC(=O)C=C1,IPRD,IPRD,LVKS,LVKS,,,"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3H,2,4H2"
178,82.0,C5H6O,3-cyclopenten-1-one,NMOC_g,,0.0122,,0.00974,,,,,,,,,,0.00808,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,C1C=CCC1=O,IPRD,IPRD,LVKS,LVKS,,,"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1-2H,3-4H2"
179,82.0,C4H6N2,1-methylpyrazole,NMOC_g,,,,0.0135,,0.0051,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0122,,,,,,,,,,,,CN1C=CC=N1,ARO2,ARO2,ARO1,ARO1,,,"InChI=1S/C4H6N2/c1-6-4-2-3-5-6/h2-4H,1H3"
182,83.0,C5H9N,Pentanenitrile,NMOC_g,,,,,,,,,,,,,,0.00103,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CCCCC#N,ALK5,ALK5,OTH4,ALK5,,,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3"
183,83.0,C5H9N,"Butanenitrile, 2-methyl-",NMOC_g,,0.0064,,0.00642,0.01443,,,,,,,,,0.00205,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CCC(C)C#N,ALK5,ALK5,OTH4,ALK5,,,"InChI=1S/C5H9N/c1-3-5(2)4-6/h5H,3H2,1-2H3"
184,83.0,C5H9N,"Butanenitrile, 3-methyl-",NMOC_g,,0.00865,,0.01173,0.01717,,,,,,,,,0.00502,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC(C)CC#N,ALK5,ALK5,OTH4,ALK5,,,"InChI=1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3"
185,84.0,C4H4S,Thiophene,NMOC_g,,0.0049,,0.0119,0.021,0.0042,,,0.0323,,,,,0.0136,,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0094,0.0154,,,,,,,,,0.0153,,C1=CSC=C1,ARO1,ARO1,OLEP,OLEP,NROG,,InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H
187,84.0,C6H12,Cyclohexane,NMOC_g,0.017,0.054,,0.0043,0.00444,0.0024,,0.0038,0.1198,,,0.0292,,0.00473,0.04565,1.0,1.0,0.0,8.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,6.0,2.0,,,,0.0034,,0.0009,,0.0042,0.2254,,,0.0371,,0.0049,,C1CCCCC1,ALK5,ALK5,ALK5,ALK5,BIGALK,,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2
188,84.0,C6H12,"2-hexene, (e)-",NMOC_g,,0.0089,,0.0076,0.0414,,,,,,,,,0.00238,,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CCCC=CC,OLE2,OLE2,OLE2,OLE2,BIGENE,,"InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3+"
189,84.0,C6H12,Cis-2-hexene,NMOC_g,,0.002,,0.0134,0.01862,0.0147,,,,,,,,,,0.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0124,,,,,,,,,,,,CCCC=CC,OLE2,OLE2,OLE2,OLE2,BIGENE,,"InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3-"
190,84.0,C6H12,1-hexene,NMOC_g,0.081,0.091,,0.0474,0.25574,0.0402,,0.0217,0.08854,,,,,0.03469,,1.0,2.0,0.0,8.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.1075,,0.0316,,0.0384,,0.0129,0.075,,,,,0.0159,,CCCCC=C,OLE1,OLE1,OLE1,OLE1,BIGENE,,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3"
191,84.0,C6H12,2-methyl-1-pentene,NMOC_g,0.0035,,0.0028,0.0871,0.07716,0.0674,,,,,,,,,,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0285,,,,,,,,,,,,CCCC(=C)C,OLE2,OLE2,OLE3,OLE3,BIGENE,,"InChI=1S/C6H12/c1-4-5-6(2)3/h2,4-5H2,1,3H3"
192,84.0,C6H12,"1-pentene, 4-methyl-",NMOC_g,,0.0064,,0.0035,0.02229,,,,,,,,,0.00353,,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0014,,,,,,,,,,0.0024,,CC(C)CC=C,OLE1,OLE1,OLE1,OLE1,BIGENE,,"InChI=1S/C6H12/c1-4-5-6(2)3/h4,6H,1,5H2,2-3H3"
193,84.0,C6H12,"2-pentene, 4-methyl-",NMOC_g,,0.0011,,0.0014,0.00501,,,,,,,,,0.0002,,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CC=CC(C)C,OLE2,OLE2,OLE2,OLE2,BIGENE,,"InChI=1S/C6H12/c1-4-5-6(2)3/h4-6H,1-3H3/b5-4+"
194,84.0,C6H12,"2-pentene, 2-methyl-",NMOC_g,,0.0345,,0.0191,0.0347,,,,,,,,,0.00509,,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CCC=C(C)C,OLE2,OLE2,OLE4,OLE4,BIGENE,,"InChI=1S/C6H12/c1-4-5-6(2)3/h5H,4H2,1-3H3"
195,84.0,C6H12,"2-pentene, 3-methyl-, (e)-",NMOC_g,,0.0086,,0.0075,0.01164,,,,,,,,,0.00251,,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CCC(=CC)C,OLE2,OLE2,OLE4,OLE4,BIGENE,,"InChI=1S/C6H12/c1-4-6(3)5-2/h4H,5H2,1-3H3/b6-4+"
196,84.0,C6H12,"2-pentene, 3-methyl-, (z)-",NMOC_g,,,,0.0141,,,,,,,,,,0.00285,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,CCC(=CC)C,OLE2,OLE2,OLE4,OLE4,BIGENE,,"InChI=1S/C6H12/c1-4-6(3)5-2/h4H,5H2,1-3H3/b6-4-"
